4K*,AAS,Askari Aviation,AL-ASS,Pakistan,
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya,
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia,"defunct, ICAO code no longer allocated"
QB,AAJ,Air Alma,AIR ALMA,Canada,Ceased operations 10/01/2002; former IATA code: 4L
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong,
2Y,ADW,Air Andaman,AIR ANDAMAN,Thailand,defunct 2004
UX,AEA,Air Europa,EUROPA,Spain,
IG,AEY,Air Italy,AIR ITALY,Italy,merged into Meridiana
NX,AMU,Air Macau,AIR MACAO,Macao,
6A,AMW,Armenia Airways,ARMENIA,Armenia,
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles,
AF,AFR,Air France,AIRFRANS,France,
SB,ACI,Air Caledonie International,AIRCALIN,France,
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan,merged into ANA Wings
ED,AXE,AirExplore,GALILEO,Slovakia,
ZW,AWI,Air Wisconsin,WISCONSIN,United States,
YI,RSI,Air Sunshine,AIR SUNSHINE,United States,
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon,defunct
9T,RUN,Air ACT,CARGO TURK,Turkey,
ZB,ABN,Air Albania,AIR ALBANIA,Albania,
3J,AAQ,Air Alliance,LIAISON,Canada,defunct
WP,ATW,Air Antwerp,DEVIL,Belgium,defunct
BX,ABL,Air Busan,AIR BUSAN,South Korea,
LB,LEP,Air Costa,LECOSTA,India,
GL,GRL,Air Greenland,GREENLAND,Greenland,
3S,GUY,Air Guyane Express,GREEN BIRD,French Guiana,
NQ,AJX,Air Japan,AIR JAPAN,Japan,
IJ,LIB,Air Libertï,LIBERTE,France,defunct
TT,KLA,Air Lithuania,KAUNAS,Lithuania,defunct
QM,AIM,Air Malawi,MALAWI,Malawi,defunct
L6,AMI,Air Maldives,AIR MALDIVES,Maldives,defunct
P8,MKG,Air Mekong,MEKONG,Vietnam,defunct
ZQ,MNE,Air Montenegro,MOUNT EAGLE,Montenegro,
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand,"""NZ"" used by New Zealand National Airways Corporation until its merger with Air New Zealand in 1978"
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada,
YP,APZ,Air Premia,AIR PREMIA,South Korea,
BM,,Air Sicilia,,Italy,defunct
ZX,ABL,Air BC,AIRCOACH,Canada,Merged into Air Canada Jazz
G8,AGB,Air Service Gabon,,Gabon,defunct
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland,
6V,VGA,Air Vegas,AIR VEGAS,United States,defunct
NH,ANA,All Nippon Airways,ALL NIPPON,Japan,
TZ,TWG,air-taxi Europe,TWINGOOSE,Germany,
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States,
V7,SNG,Air Senegal International,AIR SENEGAL,Senegal,defunct
AB,BER,Air Berlin,AIR BERLIN,Germany,defunct
QN,ARR,Air Armenia,AIR ARMENIA,Armenia,
AI,AIC,Air India Limited,AIRINDIA,India,
PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France,
SZ,WOW,Air Southwest,SWALLOW,United Kingdom,defunct
8C,ATN,Air Transport International,AIR TRANSPORT,United States,
NF,AVN,Air Vanuatu,AIR VAN,Vanuatu,
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland,
RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina,defunct
TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France,
SW,NMB,Air Namibia,NAMIBIA,Namibia,defunct
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana,
PE,AEL,Air Europe Italy,AIR EUROPE,Italy,defunct
JM,AJM,Air Jamaica,JAMAICA,Jamaica,merged into Caribbean Airlines; ICAO and IATA codes no longer used.
6G,AWW,Air Wales,RED DRAGON,United Kingdom,"defunct, ICAO code no longer allocated"
TX,FWI,Air Caraï¿½b,FRENCH WEST,France,
IX,AXB,Air India Express,EXPRESS INDIA,India,
BT,BTI,Air Baltic,AIRBALTIC,Latvia,
EL,ANK,Air Nippon,ANK AIR,Japan,"merged into All Nippon Airways, ICAO code no longer allocated"
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain,
PX,ANG,Air Niugini,NIUGINI,Papua New Guinea,
G9,ABY,Air Arabia,ARABIA,United Arab Emirates,
AC,ACA,Air Canada,AIR CANADA,Canada,
AP,LAV,AlbaStar,ALBASTAR,Spain,
E9,MHS,Air Memphis,AIR MEMPHIS,Egypt,defunct
XT,AXL,Air Exel,EXEL COMMUTER,Netherlands,defunct
UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe,
S2,RSH,Air Sahara,SAHARA,India,renamed to Jetlite
TC,ATC,Air Tanzania,TANZANIA,Tanzania,
2J,VBW,Air Burkina,BURKINA,Burkina Faso,
KM,AMC,Air Malta,AIR MALTA,Malta,
YT,TGA,Air Togo,AIR TOGO,Togo,defunct
G4,AAY,Allegiant Air,ALLEGIANT,United States,
O4,ABV,Antrak Air,ANTRAK,Ghana,
8T,TID,Air Tindi,TINDI,Canada,
3L,ADY,Air Arabia Abu Dhabi,Nawras [6][7],United Arab Emirates,
EM*,AEB,Aero Benin,AEROBEN,Benin,defunct
KD,AEN,Air Enterprise,AIR ENTERPRISE,France,defunct
AX,AAC,AmericanConnection[8],CONNECT AMERICA,United States,defunct
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine,defunct
WK,AFB,American Falcon,AMERICAN FALCON,Argentina,defunct
QQ,UTY,Alliance Airlines,UNITY,Australia,
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan,
RV*,AFI,Africaone,AFRICAWORLD,The Gambia,
Y2,AFJ,Alliance Air,JAMBO,Uganda,Ceased operations 08/10/2000
5Z,AFX,Airfreight Express,,United Kingdom,Ceased operations 08/03/2002
5D,SLI,Aeromï¿½xico Conne,COSTERA,Mexico,
JJ,AGX,Aviogenex,GENEX,Serbia,defunct
PL,PLI,Aeroperï,Aeroperu,Peru,defunct
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,defunct
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark,sold to Air Greenland
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine,defunct
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan,
U3,AIA,Avies,AVIES,Estonia,
4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France,
RS,ASV,Air Seoul,AIR SEOUL,South Korea,
5A,AIP,Alpine Air Express,ALPINE AIR,United States,
ED*,ABQ,Airblue,PAKBLUE,Pakistan,
W4,BES,Aero Services Executive,BIRD EXPRESS,France,
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel,
M6,AJT,Amerijet International,AMERIJET,United States,
4A,AKL,Air Kiribati,KIRIBATI,Kiribati,
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States,Merged into ExpressJet Airlines
HP,AWE,America West Airlines,CACTUS,United States,Merged with US Airways
6R,TNO,Aerotransporte de Carga Union,AEROUNION,Mexico,
VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela,
DP,AMM,Air 2000,JETSET,United Kingdom,defunct
YJ,AMV,AMC Airlines,AMC AIRLINES,Egypt,Aircraft Maintenance Company
AM,AMX,Aeromï¿½xi,AEROMEXICO,Mexico,
TL,ANO,Airnorth,TOPEND,Australia,
OY,ANS,Andes Lï¿½neas Aï¿½,AEROANDES,Argentina,
IW,AOM,AOM French Airlines,French Lines,France,defunct
J6,AOC,AVCOM,AERO AVCOM,Russia,
2D,AOG,Aero VIP,AVIP,Argentina,defunct
VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico,Former ICAO code: AEN
OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines,
GV,ARF,Aero Flight,Aero Fox,Germany,defunct
JW,APW,Arrow Air,BIG A,United States,defunct
2B,AWT,Albawings,ALBAWINGS,Albania,
4C,ARE,"Aires, Aerovï¿½as de Integraciï¿½n Regional, ",AIRES,Colombia,renamed to LAN Colombia
AR,ARG,Aerolï¿½neas Argentin,ARGENTINA,Argentina,
AS,ASA,"Alaska Airlines, Inc.",ALASKA,United States,
HC,ATI,Aero-Tropics Air Services,AEROTROPICS,Australia,defunct
FO,ATM,Airlines of Tasmania,AIRTAS,Australia,
OS,AUA,Austrian Airlines,AUSTRIAN,Austria,
IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany,defunct
RU,ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia,Former IATA: BO
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom,
NO,AUS,Aus-Air,AUS-AIR,Australia,defunct
AU,AUT,Austral Lï¿½neas Aï¿½,AUSTRAL,Argentina,
K8,ZAK,Airlink Zambia,,Zambia,Zambia Skyways Limited
B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh,defunct
AK,AXM,AirAsia,RED CAP,Malaysia,ICAO code no longer allocated
D7,XAX,AirAsia X,XANADU,Malaysia,
DJ,WAJ,AirAsia Japan,WING ASIA,Japan,defunct
I5,IAD,AirAsia India,ARIYA,India,Founded 28. Mar 2013
EX,BJK,Atlantic Airlines,BLACKJACK,United States,
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia,defunct
AZ,AZA,Alitalia,ALITALIA,Italy,defunct
ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany,
R7,OCA,Aserca Airlines,AROSCA,Venezuela,
RX,AEH,Aviaexpress,AVEX,Hungary,defunct
ZS,AZI,Azzurra Air,AZZURRA,Italy,defunct
FF,,Airshop,,Netherlands,
WI,WIL,Aero Air,WILLIAMETTE,United States,
VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast,defunct
BP,BOT,Air Botswana,BOTSWANA,Botswana,
GS,UPA,Air Foyle,FOYLE,United Kingdom,"defunct, ICAO code no longer allocated"
VT,VTA,Air Tahiti,AIR TAHITI,French Polynesia,
3N,URG,Air Urga,URGA,Ukraine,
VL,VIM,Air VIA,CRYSTAL,Bulgaria,
FK,WTA,Africa West,WEST TOGO,Togo,
G2,VXG,Avirex,AVIREX-GABON,Gabon,
V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation,
K6,KHV,Angkor Air,AIR ANGKOR,Cambodia,
CA,CCA,Air China,AIR CHINA,China,
Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru,
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States,defunct 2011
QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique,defunct
NV,CRF,Air Central,AIR CENTRAL,Japan,Ceased operations 2010
CV,CVA,Air Chathams,CHATHAM,New Zealand,
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands,
AH,DAH,Air Algï¿½r,AIR ALGERIE,Algeria,
ER,DHL,Astar Air Cargo,D-H-L,United States,"defunct, DHL"
EN,DLA,Air Dolomiti,DOLOMITI,Italy,
NM,DRD,Air Madrid,ALADA AIR,Spain,defunct
EE,EAY,Aero Airlines,REVAL,Estonia,defunct
4F,ECE,Air City,AIRCITY,Germany,
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy,"defunct, ICAO code no longer allocated"
RF,EOK,Aero K,AEROHANKUK,South Korea,established in May 2016; commenced operations on 15 April 2021
KY,EQL,Air S?o Tomï¿½ and Prï¿½n,EQUATORIAL,S?o Tomï¿½ and Prï¿½n,defunct
E2/E6,EWE/EWL,Eurowings Europe,EUROPWINGS BLACK PEARL,Austria,
PC,FAJ,Air Fiji,FIJIAIR,Fiji,defunct
JH,FDA,Fuji Dream Airlines,FUJI DREAM,Japan,
OF,FIF,Air Finland,AIR FINLAND,Finland,
FJ,FJI,Fiji Airways,PACIFIC,Fiji,
RC,FLI,Atlantic Airways,FAROELINE,Faroe Islands,
NY,FXI,Air Iceland,FAXI,Iceland,
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines,
2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea,
0A,GNT,Amber Air,GINTA,Lithuania,
DA,GRG,Air Georgia,AIR GEORGIA,Georgia,
LL,GRO,Allegro,ALLEGRO,Mexico,defunct (IATA code reallocated)
5Y,GTI,Atlas Air,GIANT,United States,
GG,GUY,Air Guyane,GREEN BIRD,French Guiana,
H9,HAD,Air d'Ayiti,HAITI AVIA,Haiti,
IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan,
QK,JZA,Air Canada Jazz,JAZZ,Canada,
KK,KKK,Atlasjet,ATLASJET,Turkey,
JS,KOR,Air Koryo,AIR KORYO,Democratic People's Republic of Korea,
KC,KZR,Air Astana,ASTANALINE,Kazakhstan,
LV,LBC,Albanian Airlines,ALBANIAN,Albania,
QP,AKJ,Akasa Air,AKASA AIR,India,
H7,LFA,Air Alfa,AIR ALFA,Turkey,
D4,LID,Alidaunia,ALIDA,Italy,
9I,LLR,Air India Regional,ALLIED,India,
XL,LNE,Aerolane,AEROLANE,Ecuador,Lï¿½neas Aï¿½reas Nacionales Del Ecu
4Z,LNK,Airlink,LINK,South Africa,
FL,LPA,Air Leap,LEAP,Sweden,[12]
A6,LPV,Air Alps Aviation,ALPAV,Austria,
TD,LUR,Atlantis European Airways,ATLANTIS,Armenia,defunct
L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau,
LK,LXR,Air Luxor,AIRLUXOR,Portugal,ICAO code no longer allocated
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius,
MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar,
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova,
L9,MLI,Air Mali,AIR MALI,Mali,defunct
A7,MPD,Air Plus Comet,RED COMET,Spain,
QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico,
MR,MRT,Air Mauritanie,MIKE ROMEO,Mauritania,
2V*,,Amtrak,,United States,Train services only
F4,NBK,Albarka Air,AL-AIR,Nigeria,
AJ,NIG,Aero Contractors,AEROLINE,Nigeria,
8Y,PBU,Air Burundi,AIR-BURUNDI,Burundi,
OT,PEL,Aeropelican Air Services,PELICAN,Australia,
AD,PRZ,Air Paradise International,RADISAIR,Indonesia,Defunct 2005
QD,QCL,Air Class Lï¿½neas Aï¿½,ACLA,Uruguay,
QS,QSC,African Safari Airways,ZEBRA,Kenya,
AG,ARU,Aruba Airlines,ARUBA,Aruba,
MC,RCH,Air Mobility Command,REACH,United States,United States Air Force
RE,REA,Aer Arann,AER ARANN,Ireland,
UU,REU,Air Austral,REUNION,France,
ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay,
6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines,
A5,RLA,Airlinair,AIRLINAIR,France,
QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka,
R3,RME,Armenian Airlines,ARMENIAN,Armenia,defunct
MV,RML,Air Mediterranean,HELLASMED,Greece,
2O,RNE,Air Salone,AIR SALONE,Sierra Leone,
U8,RNV,Armavia,ARMAVIA,Armenia,"defunct, ICAO code no longer allocated"
BQ,ROM,Aeromar Lineas Aereas Dominicanas,BRAVO QUEBEC,Dominican Republic,defunct
P5,RPB,AeroRepï¿½bli,AEROREPUBLICA,Colombia,
E4,RSO,Aero Asia International,AERO ASIA,Pakistan,defunct
BF,RSR,Aero-Service,CONGOSERV,Republic of the Congo,
5L,RSU,AeroSur,AEROSUR,Bolivia,
JR,SER,Aero California,AEROCALIFORNIA,Mexico,
Z3,SMJ,Avient Aviation,AVAVIA,Zimbabwe,
8D*,SUW,Astair,,Russian Federation,Name changed to Interavia Airlines
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia,ICAO code no longer allocated
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico,
JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands,ICAO code no longer allocated
CG,TOK,Airlines PNG,BALUS,Papua New Guinea,
TY,TPC,Air Calï¿½don,AIRCAL,France,
TS,TSC,Air Transat,AIR TRANSAT,Canada,
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan,
U7,UGA,Air Uganda,UGANDA,Uganda,
KO,AER,Alaska Central Express,ACE AIR,United States,
KH,AAH,Aloha Air Cargo,ALOHA,United States,
AA,AAL,American Airlines,AMERICAN,United States,
WD*,AAN,Amsterdam Airlines,AMSTEL,Netherlands,Former IATA code: FH*. ICAO code and call sign no longer allocated
HO,DJA,Antinea Airlines,ANTINEA,Algeria,defunct
OZ,AAR,Asiana Airlines,ASIANA,South Korea,
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya,
XM,XME,Australian airExpress,AUS-CARGO,Australia,
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia,Subsidiary merged with Qantas
XP,VXP,Avelo Airlines,AVELO,United States,"Former ICAO code: CXP; former names: Casino Express Airlines, Xtra Airways"
VE,AVE,Avensa,AVENSA,Venezuela,defunct
AV,AVA,Avianca,AVIANCA,Colombia,
A0,MCJ,Avianca Argentina,JETMAC,Argentina,Owned by Synergy Group
O6,ONE,Avianca Brasil,OCEAN AIR,Brazil,Owned by Synergy Group
2K,GLG,Avianca Ecuador,GALAPAGOS,Ecuador,Aerolï¿½neas Galï¿½pago
V5,VLI,Avolar Aerolï¿½ne,AEROVOLAR,Mexico,defunct
CJ,CFE,BA CityFlyer,FLYER,United Kingdom,
TH,BRT,BA Connect,BRITISH,United Kingdom,defunct
B4,BCF,BACH Flugbetriebsges,BACH,Austria,
J4,BDR,Badr Airlines,BADR AIR,Sudan,
UP,BHS,Bahamasair,BAHAMAS,Bahamas,
8Q*,BAJ,Baker Aviation,RODEO,United States,
V9,BTC,BAL Bashkirian Airlines,BASHKIRIAN,Russia,
LZ,LAZ,Balkan Bulgarian Airlines,BALKAN,Bulgaria,defunct
B3,BTN,Bhutan Airlines,BHUTAN AIR,Bhutan,
BA,BAW,British Airways,SPEEDBIRD,United Kingdom,
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh,
BO,BBD,Bluebird Nordic,BLUE CARGO,Iceland,
SI,BCI,Blue Islands,BLUE ISLAND,United Kingdom,
EO,BCL,British Caribbean Airways,,United Kingdom,defunct
WX,BCY,CityJet,CITY JET,Ireland,
BZ,BDA,Blue Dart Aviation,BLUE DART,India,
JA,BON,B&H Airlines,Air Bosna,Bosnia and Herzegovina,
8H,BGH,BH Air,BALKAN HOLIDAYS,Bulgaria,
U4,BHA,Buddha Air,BUDDHA AIR,Nepal,
UH,BHL,Bristow Helicopters,BRISTOW,United Kingdom,
4T,BHP,Belair Airlines,BELAIR,Switzerland,
E6,,Bringer Air Cargo Taxi Aï¿½r,,Brazil,
BS,BIH,British International Helicopters,BRINTEL,United Kingdom,
PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand,
KF,BLF,Blue1,BLUEFIN,Finland,
JV,BLS,Bearskin Lake Air Service,BEARSKIN,Canada,
BD,BMA,BMI,MIDLAND,United Kingdom,defunct
WW,BMI,Bmibaby,BABY,United Kingdom,defunct
CH,BMJ,Bemidji Airlines,BEMIDJI,United States,
BN,BNF,Braniff International Airways,Braniff,United States,defunct
BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy,
7R,BRB,BRA-Transportes Aï¿½re,BRA-TRANSPAEREOS,Brazil,
8E,BRG,Bering Air,BERING AIR,United States,
B2,BRU,Belavia Belarusian Airlines,BELARUS AVIA,Belarus,
GQ,BSY,Big Sky Airlines,BIG SKY,United States,
ID,BTK,Batik Air,BATIK,Indonesia,
4B,BTQ,Boutique Air,BOUTIQUE,United States,
Y6,BTV,Batavia Air,BATAVIA,Indonesia,"As of June 1, 2010, IATA code changed to Y6."
BU,BUN,Buryat Airlines Aircompany,BURAL,Russia,
J8,BVT,Berjaya Air,BERJAYA,Malaysia,
QW,BWG,Blue Wings,BLUE WINGS,Germany,defunct
SN,BXI,Brussels Airlines,XENIA,Belgium,defunct as Brussels International Airlines in 2001
DB,BZH,Brit Air,BRITAIR,France,
JD,CBJ,Beijing Capital Airlines,CAPITAL JET,China,
NT,IBB,Binter Canarias,BINTER,Spain,
0B,BLA,Blue Air,BLUE AIR,Romania,
FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria,
8N,NKF,Barents AirLink,NORDFLIGHT,Sweden,previously Nordkalottflyg
YB,BRJ,Borajet,BORA JET,Turkey,
MX,MXY,Breeze Airways,MOXY,United States,
KR,KME,Cambodia Airways,GIANT IBIS,Cambodia,
5C,ICL,Challenge Airlines IL,CAL,Israel,ex CAL-Cargo Air Lines
3C,CMV,Calima Aviaciï¿,CALIMA,Spain,
MO,CAV,Calm Air,CALM AIR,Canada,
R9,CAM,Camai Air,AIR CAMAI,United States,Village Aviation
UY,UYC,Cameroon Airlines,CAM-AIR,Cameroon,defunct
C6,CJA,CanJet,CANJET,Canada,
CP,CDN,Canadian Airlines,CANADIAN,Canada,defunct
7F,AKT,Canadian North,ARCTIC,Canada,Air Norterra
W2,CWA,Canadian Western Airlines,CANADIAN WESTERN,Canada,
9K,KAP,Cape Air,CAIR,United States,
PT,CCI,Capital Cargo International Airlines,CAPPY,United States,Allocation deleted 2013
2G,CRG,Cargoitalia,WHITE PELICAN,Italy,
W8,CJT,Cargojet Airways,CARGOJET,Canada,
C8,ICV,Cargolux Italia,CARGO MED,Italy,
BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad and Tobago,
8B,GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda,
V3,KRP,Carpatair,CARPATAIR,Romania,
KA,HDA,Cathay Dragon,DRAGON,Hong Kong,defunct
CX,CPA,Cathay Pacific,CATHAY,Hong Kong,
KX,CAY,Cayman Airways,CAYMAN,Cayman Islands,
5J,CEB,Cebu Pacific,CEBU,Philippines,
2C,CMA,CMA-CGM AIRCARGO,FRENCH CARGO,France,
9M,GLR,Central Mountain Air,GLACIER,Canada,
J7,CVC,Centre-Avia,AVIACENTRE,Russia,
WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,United States,
OP,CHK,Chalk's International Airlines,CHALKS,United States,
MG,CCP,Champion Air,CHAMPION AIR,United States,
2Z,CGN,Chang An Airlines,CHANGAN,China,
S8,CSU,Chari Aviation Services,CHARI SERVICE,Chad,
RP*,CHQ,Chautauqua Airlines,CHAUTAUQUA,United States,Was US*
CI,CAL,China Airlines,DYNASTY,Taiwan,
CK,CKK,China Cargo Airlines,CARGO KING,China,
MU,CES,China Eastern Airlines,CHINA EASTERN,China,
G5,HXA,China Express Airlines,CHINA EXPRESS,China,
WH,CNW,China Northwest Airlines,CHINA NORTHWEST,China,defunct
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China,
KN,CUA,China United Airlines,LIANHANG,China,
XO,CXH,China Xinhua Airlines,XINHUA,China,
3Q,CYH,China Yunnan Airlines,YUNNAN,China,defunct
X7,CHF,Chitaavia,CHITA,Russia,
OQ,CQN,Chongqing Airlines,CHONG QING,China,
QI,CIM,Cimber Sterling,CIMBER,Denmark,
C7,CIN,Cinnamon Air,CINNAMON,Sri Lanka,
C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany,defunct
G3,CIX,City Connexion Airlines,CONNEXION,Burundi,defunct
CT,CAT,Civil Air Transport,Mandarin,Taiwan,defunct
